Feature/Subfeature,Description,View/Area,Type,Kill? (X to kill),Notes/Changes
_Last updated: 2026-06-25 (formerly 2026-06-16) — Mercury UX Retrofit, domain extraction, command registry, 3 new ViewKeys, 10+ architectural changes_,,,,,_

=== NAVIGATION & SHELL ===,,,,,
Mobile Catalog,"2-column photo grid, search/filter, detail bottom sheet, add photo, copy offer, view in inventory",MobileCatalogView,Page (Mobile),N/A (mobile),2026-06-25: now routed at /mobile/catalog
Mobile Payments,"Receive/Pay tabs, open invoices/bills list, expandable payment form, confirmation sheet",MobilePaymentsView,Page (Mobile),N/A (mobile),2026-06-25: now routed at /mobile/payments
Mobile Contacts,"Search + role filter, contact cards list, profile navigation",MobileContactsView,Page (Mobile),N/A (mobile),2026-06-25: now routed at /mobile/contacts
Mobile Contact Profile,"Header card, detail panels (contact info/financials/history), back navigation",MobileContactProfileView,Page (Mobile),N/A (mobile),2026-06-25: now routed at /mobile/contacts/:id
Mobile Intake,"Pending batches list, verify + flag actions with confirmation/reason panels",MobileIntakeView,Page (Mobile),N/A (mobile),2026-06-25: now routed at /mobile/intake

=== REPORTS (Navigation shell exists — no report views implemented) ===,,,,,
Reports Route Shell,Navigation + layout shell for reports section,ReportsRouteShell,Navigation,,"No report components found in reports/ directory. CAP-021 spec ready (7 client-side aggregations — Phase 6)"

=== COMMAND CATALOG (Backend commands by domain) ===,,,,,
Intake Commands,"createBatch, updateBatch, deleteBatch, postPurchaseReceipt, rejectBatch, flagBatch, verifyAllIntake, adjustBatchQuantity, setInventoryStatus, transferInventoryLocation, transferInventoryOwnership, setBatchPrice, setBatchLotInfo, attachBatchPhoto, uploadBatchMedia, setBatchMediaRole, publishBatchMedia, deleteBatchMedia, importBatchesCsv (internal), applyTags",Command Catalog,Backend Command,,2026-06-19: intake handlers extracted to domains/intake/ (11 handlers, 440L)
Purchase Order Commands,"createPurchaseOrder, updatePurchaseOrder, addPurchaseOrderLine, updatePurchaseOrderLine, removePurchaseOrderLine, finalizePurchaseOrder, unfinalizePurchaseOrder, approvePurchaseOrder, receivePurchaseOrder, cancelPurchaseOrder, recordVendorPrepayment, setLineLandedCost",Command Catalog,Backend Command,,2026-06-25: PO domain migrated to defineCommand() registry pattern
Sales Commands,"createSalesOrder, addSalesOrderLine, updateSalesOrderLine, removeSalesOrderLine, reserveInventoryForOrder, priceSalesOrder, confirmSalesOrder, cancelSalesOrder, postSalesOrder, repriceOrder, applyClientCredit, setDeliveryWindow",Command Catalog,Backend Command,,2026-06-18: sales-orders handlers extracted to domains/sales-orders/ (15 handlers)
Payment Commands,"logPayment, allocatePayment, unallocatePayment, refundPayment, markPaymentUnapplied, applyDiscount, postTransactionLedgerRow, upsertTransactionType",Command Catalog,Backend Command,,"NEW: markPaymentUnapplied (R-05, T3) — 2026-06-18. Payments handlers extracted to domains/payments/"
Vendor Commands,"createVendorBill, approveVendorBill, scheduleVendorPayment, recordVendorPayment, voidVendorPayment, createVendor, updateVendor",Command Catalog,Backend Command,,2026-06-19: vendor handlers extracted to domains/vendor/
Fulfillment Commands,"allocateOrderToFulfillment, createPickList, recordWeighAndPack, markOrderFulfilled, printLabels (internal), adjustFulfillmentLine, releaseLineForPicking, releaseLinesForPicking, recallLineFromPicking, acknowledgeWarehouseAlert, returnPickedUnits, cancelFulfillmentLine",Command Catalog,Backend Command,,2026-06-18: pick+fulfillment handlers extracted to domains/pick/ and domains/fulfillment/
Matchmaking Commands,"createCustomerNeed, updateCustomerNeed, createVendorSupply, updateVendorSupply, acceptMatchmakingMatch, dismissMatchmakingMatch, reopenMatchmakingMatch, updateMatchmakingSettings, noteMatchmakingOutreach, dismissMatchmakingWorkQueueItem",Command Catalog,Backend Command,,2026-06-19: matchmaking handlers extracted to domains/matchmaking/
Credit Engine Commands,"setCustomerCreditLimit, revertCustomerCreditToEngine, snoozeCustomerCreditReminder, setCustomerEngineMax (internal), setCustomerStance, disableCreditEngineForCustomer, enableCreditEngineForCustomer, createCreditEngineStance, updateCreditEngineStance, deleteCreditEngineStance, setCreditEngineConfig, bulkRevertCustomersToEngine",Command Catalog,Backend Command,,2026-06-18: credit handlers extracted to domains/credit/ (12 handlers)
Pricing Commands,"setCustomerPricingRule, setDefaultPricingRule, setLineBelowFloorReason, resolveVendorApproval",Command Catalog,Backend Command,,,
Item Commands,"createItem, updateItem, toggleItemStatus, setItemAlias",Command Catalog,Backend Command,,,
Referee Commands,"createReferee, updateReferee, addRefereeRelationship, updateRefereeRelationship, deactivateRefereeRelationship, voidRefereeCredit",Command Catalog,Backend Command,,2026-06-19: referee handlers extracted to domains/referees/
Processor/Connector Commands,"approveConnectorRequest (internal), rejectConnectorRequest (internal), routeConnectorRequest (internal), createPaymentProcessor (internal), markUserFeeCollected (internal), updateProcessorFeeStatus (internal), updateProcessor",Command Catalog,Backend Command,,,
Contact Commands,"createContact, updateContact, archiveContact, addContactRole, linkContactToExistingEntity, linkContactToUser, createAppointment, updateAppointment, cancelAppointment, completeAppointment",Command Catalog,Backend Command,,2026-06-19: contact handlers extracted to domains/contacts/ (23 handlers)
Dispute Commands,"resolveInvoiceDispute, rejectInvoiceDispute",Command Catalog,Backend Command,,,
Merge Candidate Commands,"approveMergeCandidate, dismissMergeCandidate",Command Catalog,Backend Command,,,
Recovery/System Commands,"createCorrectionJournalEntry, reverseCommandById, documentCommandFailure, restoreFromBackupPoint, postPeriodAdjustments, lockPeriod, archivePeriod, updateSystemSetting, mintPhotoUploadToken, revokePhotoUploadToken, createCustomerSheetSnapshot",Command Catalog,Backend Command,,"2026-06-18: dead mintPhotoUploadTokenCommand/revokePhotoUploadTokenCommand handlers removed"

=== CROSS-CUTTING / NON-VIEW FEATURES ===,,,,,
Idempotency Keys,Every mutation stamps a client-generated UUID to prevent double-execution,useCommandRunner,System Pattern,,,
Command Journaling,Every command writes to DB journal + JSONL + Socket.io stream,Server,System Pattern,,2026-06-19: shared journal + socket-emitter extracted to domains/shared/
RBAC (Role-Based Access),All commands validated against user role before execution,Server,System Pattern,,,
Socket.io Realtime Invalidation,Clients receive events to invalidate queries after commands execute,Server,System Pattern,,,
Session Management,"express-session + connect-pg-simple (httpOnly cookies)",Server,System Pattern,,,
CSV Export (AG Grid),AG Grid Enterprise CSV export from every grid column menu,OperatorGrid,Export,,,
Column Customization (AG Grid),Sidebar: show/hide columns + filter builder on every grid,OperatorGrid,Setting,,,
Range Selection + Undo/Redo (AG Grid),AG Grid Enterprise cell range selection + undo/redo editing,OperatorGrid,Inline Action,,,
Multi-Row Selection,Every grid supports multi-row selection with Ctrl/Cmd+click,OperatorGrid,Grid,,,
Saved Filters Manager,Save/load named grid filter configurations,SavedFiltersManager,Setting,,CAP-031 — TER-1561: merged
Pricing Panel,Shared component for managing pricing rules across views,PricingPanel,Shared Component,,,
Inventory Finder Panel,Shared component for searching inventory from sales/PO views,InventoryFinderPanel,Shared Component,,,
Row Command History Drawer,Per-row drawer showing command history tied to an entity,RowCommandHistoryDrawer,Shared Component,,,
Contact Create Modal,Shared modal for creating contacts from any view,ContactCreateModal,Shared Component,,,
Media Upload (Mobile),Mobile-optimized media upload component,MediaUploadMobile,Shared Component,,,
Use Command Runner Hook,"Centralized mutation hook: idempotency key, invalidate all queries, push toast",useCommandRunner,System Pattern,,,
UI Store (Zustand),"Persisted UI state: activeView, sideNav collapsed, drawer states, settings tabs, navGroupExpansion, focusMode, focusedPanelId",uiStore,System Pattern,,,
Canvas Grammar (Feature Flag),"Modern shell: Keel chips, Identity Ribbon, Context Drawer, focus mode (VITE_CANVAS_GRAMMAR_ENABLED)",App,System Feature (Flagged),,2026-06-18: flag flip gap closed — 83→98 evidence items resolved
GridView Template System,"Standardized view template with slot contracts: filter strip, status bar, master grid, detail panel. All 20+ views refactored through GridView (Phase 1-3, 2026-06-17/18)",GridView,System Pattern (Architecture),,"NEW — 2026-06-17/18: Mercury UX Retrofit Phase 1-3. 13 views adopted GridView template. OperationsViews.tsx → per-view file split (UX-T01)"
URL Grammar Routing,"URL-based routing for all views with canonical paths (/dashboard, /sales, /purchaseOrders, etc.). Browser back/forward, deep-linking work. ViewKey synced from pathname.",App (React Router),System Pattern (Architecture),,"NEW — 2026-06-18: R-10/11/17/18/19/20 — URL grammar + AG Grid + cell select"
Domain Extraction (Backend),"All 90+ command handlers extracted from monolithic commandBus.ts (7,400L) into per-domain directories: purchase-orders, sales-orders, payments, credit, inventory, media, pick, intake, vendor, matchmaking, contacts, referees. Shared: journal + socket-emitter.",Server,System Pattern (Architecture),,"NEW — 2026-06-18/19: REF Foundational Uplift — domain extraction, router split, reliability (#501)"
Command Registry (defineCommand),"Self-registering command pattern: defineCommand() wraps name, Zod schema, RBAC, reversal policy, and handler in one file. PO domain prototype live (12 commands). Switch-case fallback for unmigrated domains. Mandatory for all new commands.",Server,System Pattern (Architecture),,"NEW — 2026-06-25: feat: defineCommand + command registry (PO domain prototype). docs/decisions/0002-command-registry.md"
Router Split Expansion,"Per-domain routers extracted from monolithic barrel. Error boundaries added at multiple levels. PR template + lefthook added. Structured logger replaces console.* calls.",Server,System Pattern (Architecture),,"NEW — 2026-06-19: router split, error boundaries, structured logger, lefthook"
Grid v2 — Subquery-Scoped ORDER BY,"All 20 views use subquery-scoped ORDER BY to fix sort conflicts. AG Grid module dedup. DR-1 category tier ordering. GridColDef export unification.",OperatorGrid,System Pattern (Infrastructure),,"NEW — 2026-06-24/25: grid v2 fixes across all views"
Flag Flips Closed (83→98),"Evidence gaps closed — 83 to 98 flag items resolved. MarkPaymentUnapplied backend command (R-05, T3). Playwright E2E for PurchaseOrders + Payments/Recovery. A11y audit + integration smoke test.",App,System Pattern (Infrastructure),,"NEW — 2026-06-18: evidence: flag flip gap closed"

=== LOGIN ===,,,,,
Login Page,Email + password login form with session-based auth,LoginView,Page,,,
Mobile Auto-Redirect on Login,"Viewports <768px redirect to /mobile shell after login",App,Auth / Routing,,,
